compare,cluster,D,n_total,q_mean,mu_mean,sigma_mean,rho_mean,state_tag,dom_action_p1,dom_action_p2,p1,p2
pg_vs_heuristic_diff,15,1.9999999750689643,50,216.56,8.509335405425244,2.264294821658517,1.0,后期高负载/高队列/中波动,a2,a0,pg,heuristic
pg_vs_heuristic_diff,4,1.9999999579966437,30,210.0,8.505033185630081,2.321599198969325,1.0,后期高负载/高队列/中波动,a2,a0,pg,heuristic
pg_vs_heuristic_diff,11,1.9999998963483077,70,198.65714285714284,8.529018809172658,2.287048103755452,1.0,后期高负载/高队列/中波动,a2,a0,pg,heuristic
pg_vs_heuristic_diff,17,1.999999766148858,38,188.47368421052633,8.522118579414382,2.289648651424302,1.0,后期高负载/高队列/中波动,a2,a0,pg,heuristic
pg_vs_heuristic_diff,1,1.9999995049091388,68,178.94117647058823,8.551485319724772,2.2910264876406896,1.0,后期高负载/高队列/中波动,a2,a0,pg,heuristic
pg_vs_random_diff,14,1.3333317247431096,50,216.56,6.338763308868064,2.705151384224926,1.0,后期高负载/高队列/中波动,a2,a0,pg,random
pg_vs_random_diff,3,1.3333308342481174,30,210.0,6.364615182371371,2.693548450038792,1.0,后期高负载/高队列/中波动,a2,a0,pg,random
pg_vs_random_diff,13,1.3333280327930968,68,198.7941176470588,6.374029433178728,2.7277983062992184,1.0,后期高负载/高队列/中波动,a2,a0,pg,random
pg_vs_random_diff,7,1.3333235650228796,34,189.58823529411765,6.387527406191106,2.735184237239205,1.0,后期高负载/高队列/中波动,a2,a0,pg,random
pg_vs_random_diff,9,1.3333140158766108,72,179.52777777777777,6.410489104829567,2.795162298174771,1.0,后期高负载/高队列/中波动,a2,a0,pg,random
