env,k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar,switch_rate,state_delta_bar,state_delta_std,r_std,reward_trend,dominance_gap,anomaly_score,regime_shift_score,is_anomaly,is_regime_shift,summary_name
queue,0,0,49,17.34,4.035459250072554,1.900716343681968,0.34680000000000005,0.08,0.84,0.08,-10.357997596916404,0.5446087366699487,0.30612244897959184,1.2407775374050494,0.8606409898509987,5.7857976620032225,-0.3847781812179429,0.76,8.77349742785761,0.0,True,False,queue__pg_summary
inventory,6,300,349,1.374785084467912,12.696952136941599,2.3163501570522897,0.2423374764251946,0.2,0.66,0.14,-2.082886920324039,0.7788508914972809,0.4897959183673469,1.3533830894860546,1.2927389145845294,1.2545556449703157,0.06027277104258249,0.46,7.375999668175398,4.138900886517571,True,True,inventory__pg_summary
queue,0,0,49,17.34,9.365954274961727,1.9390429958914863,0.34680000000000005,1.0,0.0,0.0,-11.222746972932178,5.726222003291325e-11,0.0,1.1036135469145136,0.8017791795698671,5.807315326421375,-0.3950352937693171,1.0,6.184690443115129,0.0,True,False,queue__heuristic_summary
inventory,4,200,249,22.9404236158036,12.477175213674887,2.093238722628709,0.025058523544309253,0.32,0.34,0.34,-8.574843501678822,1.0986122886681091,0.6734693877551021,3.823409664944733,2.9357229499622246,5.904124296956969,0.2199135329148446,0.0,5.949461086382638,2.6858575494533565,True,True,inventory__random_summary
traffic,0,0,49,258.89964290921324,33.88716125921193,26.498847507912718,0.9573351475799571,0.0,1.0,0.0,-23.598646587975487,6.162669210987082e-05,0.0,10.980219174712797,4.531264135885588,11.756236853143468,-0.8030451791958557,1.0,5.682852589574961,0.0,True,False,traffic__pg_summary
traffic,0,0,49,235.0288739036489,33.88716125921193,8.365382565073602,0.9573351475799571,0.42,0.24,0.34,-18.06091604878345,1.0986122886681091,0.6326530612244898,10.448157979071247,5.084843103609376,8.206748702266136,-0.5503778271349703,0.07999999999999996,5.408513549902723,0.0,True,False,traffic__random_summary
queue,1,50,99,38.38,3.4796316523204847,1.5507954161554085,0.7676,0.06,0.88,0.06,-28.234557458938184,0.2565119471318842,0.1836734693877551,0.962794187013936,0.8026569803650403,3.9188815120424447,-0.2616781398091749,0.8200000000000001,5.287517865857778,4.432087904250789,True,False,queue__pg_summary
queue,0,0,49,17.34,6.317499098834878,2.402087260347081,0.34680000000000005,0.42,0.24,0.34,-7.553524500873236,1.0986122886681091,0.6326530612244898,1.2032957223458407,0.7304950891142338,3.6932764213572504,-0.2469330830614208,0.07999999999999996,5.212429174426633,0.0,True,False,queue__random_summary
inventory,0,0,49,118.31299446056904,11.956389318513962,1.8135383136094507,0.036439102483451793,1.0,0.0,0.0,-43.628595255111435,5.726222003291325e-11,0.0,5.55815595484774,3.0731628619358746,27.753757481066675,-1.9124679081285991,1.0,5.174392648274078,0.0,True,False,inventory__heuristic_summary
traffic,0,0,49,235.0288739036488,33.88716125921193,17.467006090713415,0.9573351475799571,1.0,0.0,0.0,-19.98494450126507,5.726222003291325e-11,0.0,10.449502911893024,5.114759702468612,9.312669687690711,-0.6237925326031821,1.0,5.121478975672294,0.0,True,False,traffic__heuristic_summary
inventory,0,0,49,0.0,11.956389318513962,1.8135383136094507,0.5268248959038941,0.42,0.24,0.34,-3.2423135382035344,1.0986122886681091,0.6326530612244898,0.7083874742741902,0.4128374863462435,1.40031486191578,0.005566347234349083,0.07999999999999996,4.8399630207148245,0.0,True,False,inventory__random_summary
inventory,6,300,349,1932.698748091656,12.696952136941599,2.3163501570522897,0.0,1.0,0.0,0.0,-679.0959841048586,5.726222003291325e-11,0.0,7.183112107811388,3.3475625716002124,33.749052494382106,-2.3112997968365723,1.0,4.441044012756369,18.330793857920614,True,True,inventory__heuristic_summary
traffic,11,550,599,4711.449888535321,32.33678953788109,131.44934765047464,1.0,0.24,0.46,0.3,-356.03133190744086,1.0986122886681091,0.6530612244897959,7.202293937443776,4.848704999248596,8.397278323262901,-0.5673443076224892,0.16000000000000006,4.424780724629124,5.606142745907164,True,False,traffic__random_summary
traffic,11,550,599,5234.513709357298,32.33678953788109,523.7029655682771,1.0,0.0,1.0,0.0,-471.2743707719856,5.726222003291325e-11,0.0,7.774469627263997,4.7277461561130805,10.615741688310386,-0.7251783132380539,1.0,4.370667609287171,7.06627370680027,True,False,traffic__pg_summary
inventory,6,300,349,0.0,12.696952136941599,2.3163501570522897,0.3928750272620487,0.32,0.36,0.32,-2.475203633175089,1.0986122886681091,0.7551020408163265,0.8155985525130941,0.5827213148223007,1.326468683375166,0.051328068808743695,0.03999999999999998,4.328265868438489,1.7851576479269418,False,False,inventory__random_summary
inventory,10,500,549,0.0,12.205989900191845,2.176009132311422,0.7638939101402532,0.16,0.52,0.32,-4.729105672248292,0.8633901289649566,0.5714285714285714,0.7355270185684509,0.4440140294246549,1.191803826973693,0.032429774665919946,0.2,4.316850090039393,2.0459208641884947,True,False,inventory__pg_summary
inventory,5,250,299,0.0,11.517767938424162,2.3362302642503234,0.9635868160020244,0.08,0.68,0.24,-5.90616706099872,0.8879730842012963,0.5510204081632653,0.7360894761258657,0.5593901937478898,0.4286402183864402,-0.00671083042512277,0.4400000000000001,4.295035217124823,1.544452324003506,False,False,inventory__pg_summary
queue,3,150,199,78.84,6.645104332214596,1.9337166889981772,1.0,0.42,0.2,0.38,-43.61137929668754,1.0986122886681091,0.7142857142857143,0.7150412816687901,0.6766137636452372,2.8503150403562016,-0.18819900763013736,0.03999999999999998,4.254114804861273,3.8294441902890055,True,False,queue__random_summary
inventory,5,250,299,1.7327375586408131,11.517767938424162,2.3362302642503234,0.2690431333505146,0.16,0.48,0.36,-2.384286549797572,1.0986122886681091,0.6530612244897959,1.2928425069799858,1.9570074220384652,1.703314427207106,-0.012366697921729293,0.12,4.224258353792529,4.038838357336834,False,True,inventory__random_summary
queue,10,500,549,235.88,10.6362328154354,1.0827124046479184,1.0,1.0,0.0,0.0,-248.67509226590028,5.726222003291325e-11,0.0,1.0094760073202536,0.9921800123311104,3.1355052465526048,-0.10162131391586944,1.0,4.166834066449544,4.697417017581103,True,False,queue__heuristic_summary
