k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar
0,0,49,17.34,9.365954274961728,1.9390429958914865,0.34680000000000005,1.0,0.0,0.0,-11.22274697293218,5.726222003291325e-11
1,50,99,38.38,10.381723258715592,1.335451334025273,0.7676,1.0,0.0,0.0,-35.155579015988884,5.726222003291325e-11
2,100,149,56.66,10.578536285911081,1.1208290901633808,0.9975999999999999,1.0,0.0,0.0,-57.517449623794704,5.726222003291325e-11
3,150,199,78.84,10.583857497124063,1.1957724393965483,1.0,1.0,0.0,0.0,-80.27864079139114,5.726222003291325e-11
4,200,249,102.38,10.653388048294921,1.155696844271068,1.0,1.0,0.0,0.0,-103.17099284293228,5.726222003291325e-11
5,250,299,128.56,10.623928628937557,1.2155963957980063,1.0,1.0,0.0,0.0,-121.46135493960539,5.726222003291325e-11
6,300,349,157.46,10.499353339560592,1.278980684172094,1.0,1.0,0.0,0.0,-143.78674744330786,5.726222003291325e-11
7,350,399,173.6,10.622856140869683,1.1158984021315248,1.0,1.0,0.0,0.0,-173.88099256829753,5.726222003291325e-11
8,400,449,192.38,10.638004235298778,1.1064297818560476,1.0,1.0,0.0,0.0,-200.47304452139514,5.726222003291325e-11
9,450,499,211.38,10.632003757576253,1.107994489858353,1.0,1.0,0.0,0.0,-228.900138105637,5.726222003291325e-11
