env,k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar,switch_rate,state_delta_bar,state_delta_std,r_std,reward_trend,dominance_gap,anomaly_score,regime_shift_score,is_anomaly,is_regime_shift
inventory,0,0,49,0.0,11.95638931851396,1.8135383136094507,0.6921046979421811,0.16,0.58,0.26,-4.286680429617942,0.881708474911274,0.5918367346938775,0.7011280563086337,0.4186962179790459,1.1274009975639212,-0.04513169550661093,0.31999999999999995,3.232089944240823,0.0,False,False
inventory,1,50,99,0.0,12.447008631070114,2.172502836928935,0.5786120334993994,0.12,0.7,0.18,-3.6297998637327606,0.8477434795422465,0.46938775510204084,0.8170864258734791,0.5466747401197868,1.1438463080151167,-0.0522499390382421,0.52,2.5450282980633756,1.8442600845543151,False,False
inventory,2,100,149,0.0,11.476192646376093,2.2689083632254143,0.7928207728124879,0.12,0.66,0.22,-4.9088797543231,0.8822581980091643,0.42857142857142855,0.6353296021929562,0.42537469342324996,1.1376729161618286,0.021893320404865472,0.44000000000000006,2.8947967717029344,1.6096782783820909,False,False
inventory,3,150,199,0.0,12.078719766979084,2.0319017621592015,0.738537474710212,0.12,0.72,0.16,-4.489249663093246,0.869275860812938,0.42857142857142855,0.9162606743400677,0.6050686749062195,1.2634170530711104,-0.01077357232196339,0.5599999999999999,2.916891950977336,1.2612847944193954,False,False
inventory,4,200,249,0.0,12.477175213674887,2.0932387226287092,0.7873523971706592,0.08,0.68,0.24,-4.855626566030107,0.8599289930136799,0.5102040816326531,0.7571792847413239,0.44498962143112925,0.9903634434995231,-0.04488710405874579,0.44000000000000006,2.4737819044876757,1.2763492103100382,False,False
inventory,5,250,299,0.0,11.517767938424162,2.3362302642503234,0.9635868160020244,0.08,0.68,0.24,-5.90616706099872,0.8879730842012963,0.5510204081632653,0.7360894761258657,0.5593901937478898,0.4286402183864402,-0.0067108304251227695,0.44000000000000006,4.295035217124823,1.544452324003506,False,False
inventory,6,300,349,1.374785084467912,12.696952136941599,2.3163501570522897,0.2423374764251946,0.2,0.66,0.14,-2.082886920324039,0.7788508914972809,0.4897959183673469,1.3533830894860546,1.2927389145845294,1.2545556449703155,0.06027277104258249,0.46,7.375999668175399,4.138900886517571,True,True
inventory,7,350,399,0.24520960603500172,12.394404441738843,1.865101613645113,0.2534651777699995,0.1,0.72,0.18,-1.8962654524827878,0.8390860804283288,0.46938775510204084,0.8250362981402336,0.5976957711290669,0.8592647707340484,-0.00799289088844006,0.54,3.909304664417705,2.414862622868076,False,True
inventory,8,400,449,0.0,11.649545239570068,1.921853125198237,0.5772502990535445,0.2,0.58,0.22,-3.649284582808193,0.8814091774224557,0.5510204081632653,0.6377479177033668,0.4171636545895858,1.1806964794775452,0.04038739680925231,0.36,2.8139902472419744,2.2294316787944837,False,False
inventory,9,450,499,0.0,11.650773823092125,1.6720641027202392,0.7680521604404222,0.1,0.68,0.22,-4.7495099665166345,0.8989921346724458,0.5102040816326531,0.6110374749897352,0.4210192053060506,1.0117429435453522,-0.02948839210639621,0.4600000000000001,3.1720241722129616,1.5323782518189262,False,False
inventory,10,500,549,0.0,12.205989900191843,2.176009132311422,0.7638939101402532,0.16,0.52,0.32,-4.729105672248292,0.8633901289649566,0.5714285714285714,0.7355270185684509,0.4440140294246549,1.191803826973693,0.032429774665919946,0.2,4.316850090039394,2.0459208641884947,True,False
inventory,11,550,599,0.0,11.87963455652777,2.156621618845733,0.591019281844282,0.24,0.6,0.16,-3.63561545039904,0.8669874220110104,0.5102040816326531,0.7590464636951162,0.47276841137951375,1.6443161650338847,0.09620453059024972,0.36,3.9138072128340364,1.9856338697698406,False,False
