k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar
0,0,49,17.34,5.97696865192292,2.9656981525019854,0.34680000000000005,0.08,0.26,0.66,-6.198760046841768,0.8171302828874787
1,50,99,38.38,6.189157978025231,3.4585619696230143,0.7676,0.04,0.06,0.9,-14.499074965981121,0.4165855484624102
2,100,149,56.66,6.740952098142158,3.3541317203960053,0.9975999999999999,0.0,0.0,1.0,-20.938846177355135,0.17242779442965092
3,150,199,78.84,6.7408462517888745,3.3415178406628017,1.0,0.0,0.0,1.0,-27.496659722718906,0.05116971472669479
4,200,249,102.38,6.8500873762343595,3.3900596059784953,1.0,0.0,0.0,1.0,-34.48530009344968,0.014652801513545272
5,250,299,128.56,7.012546116206701,3.2836120233666355,1.0,0.0,0.0,1.0,-41.895450069584804,0.0032610473926094415
6,300,349,157.46,6.660215249329526,3.365909541176797,1.0,0.0,0.0,1.0,-50.61640690195931,0.0005180942875096525
7,350,399,173.6,6.4192910911758,3.4784053104946207,1.0,0.0,0.0,1.0,-62.00872525335847,0.0001840737543188416
8,400,449,192.38,6.400794775540416,3.481025016758399,1.0,0.0,0.0,1.0,-70.38622510650463,5.8746794289844884e-05
9,450,499,211.38,6.410472422741228,3.448923532343409,1.0,0.0,0.0,1.0,-77.09900847708957,1.8221083817435076e-05
