env,k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar,switch_rate,state_delta_bar,state_delta_std,r_std,reward_trend,dominance_gap,anomaly_score,regime_shift_score,is_anomaly,is_regime_shift
queue,0,0,49,17.34,4.035459250072554,1.9007163436819678,0.34680000000000005,0.08,0.84,0.08,-10.357997596916405,0.5446087366699487,0.30612244897959184,1.2407775374050494,0.8606409898509987,5.785797662003222,-0.38477818121794294,0.76,8.77349742785761,0.0,True,False
queue,1,50,99,38.38,3.4796316523204847,1.5507954161554083,0.7676,0.06,0.88,0.06,-28.234557458938184,0.2565119471318842,0.1836734693877551,0.9627941870139359,0.8026569803650403,3.918881512042445,-0.26167813980917487,0.8200000000000001,5.287517865857777,4.432087904250789,True,False
queue,2,100,149,56.66,3.001897176397883,1.445697113567243,0.9975999999999999,0.0,1.0,0.0,-51.56958347145013,0.11787910756043134,0.0,1.0216919305609893,0.9755600680461483,7.653727830865834,-0.50614796835436,1.0,2.286292088345836,5.763590936911547,False,True
queue,3,150,199,78.84,2.9122243337551272,1.410256899404137,1.0,0.0,1.0,0.0,-76.02100600517663,0.036668204534267196,0.0,0.698375703849298,0.6960893222336939,8.068972439082684,-0.553505534070302,1.0,3.036556727524796,4.7858785599311116,False,False
queue,4,200,249,102.38,2.982645658129586,1.5081837781339054,1.0,0.0,1.0,0.0,-97.17124616307149,0.01097940250780319,0.0,0.957714175789546,0.8455592020128878,6.569576377358964,-0.4255671337743351,1.0,1.4237263977155692,4.104448986441685,False,False
queue,5,250,299,128.56,3.020436939199115,1.4303763246839538,1.0,0.0,1.0,0.0,-120.2384334240085,0.0026232375875140782,0.0,1.0709842196500854,1.1672481027931587,5.097603108576787,-0.3286322381135051,1.0,2.9284904175552624,4.469986465645993,False,False
queue,6,300,349,157.46,2.909697097892287,1.375259779242228,1.0,0.0,1.0,0.0,-140.47064525949142,0.0004824245533200927,0.0,0.849430921318735,0.8495456146746254,7.592952008314674,-0.502818015563465,1.0,1.7228999308950164,4.296292356921871,False,False
queue,7,350,399,173.6,2.757034349905606,1.3247599440281186,1.0,0.0,1.0,0.0,-167.55064496287577,0.00019291439397291912,0.0,0.7961393733504633,0.7694568198875665,8.550912420852724,-0.5783109110354623,1.0,2.7186514258351346,4.511336076307097,False,False
queue,8,400,449,192.38,2.690606296974226,1.2576135721800537,1.0,0.0,1.0,0.0,-194.4177824315406,6.787672627772286e-05,0.0,0.8644407641089862,0.6883196273660521,7.214829036381058,-0.4843654784425721,1.0,2.538117829478862,4.557007751696294,False,False
queue,9,450,499,211.38,2.6027241870083113,1.2074430451135196,1.0,0.0,1.0,0.0,-219.74439801823894,2.3423673437644086e-05,0.0,0.8477816828713464,0.7765228786822022,7.772327085204658,-0.5205685214238998,1.0,2.841059145042893,4.141032944973323,False,False
queue,10,500,549,235.88,2.6002394637986583,1.2867890217829723,1.0,0.0,1.0,0.0,-241.54546366587107,6.6751978553856494e-06,0.0,1.007855421423863,0.9941672703113302,3.4222157290345674,-0.1598421689318583,1.0,3.994057922583149,4.867644449787441,False,True
queue,11,550,599,273.26,2.688796698275885,1.3568025421910184,1.0,0.0,1.0,0.0,-254.323637312349,6.549760397108482e-07,0.0,1.104012267275561,0.981138801338358,6.119981743241247,-0.41271207695685597,1.0,3.0317369327934265,2.922385901406006,False,False
