env,k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar,switch_rate,state_delta_bar,state_delta_std,r_std,reward_trend,dominance_gap,anomaly_score,regime_shift_score,is_anomaly,is_regime_shift
queue,0,0,49,17.34,6.317499098834878,2.402087260347081,0.34680000000000005,0.42,0.24,0.34,-7.553524500873235,1.0986122886681093,0.6326530612244898,1.2032957223458407,0.7304950891142338,3.69327642135725,-0.24693308306142076,0.07999999999999996,5.212429174426634,0.0,True,False
queue,1,50,99,38.38,6.504261037515999,2.5022366528186657,0.7676,0.32,0.42,0.26,-21.22175224356473,1.0986122886681093,0.6938775510204082,0.9479830574316159,0.7987958813163369,4.277270463779873,-0.28404404935335703,0.09999999999999998,3.6480849856615714,3.7514576661250194,False,False
queue,2,100,149,56.66,6.267569282797945,2.0879904388129544,0.9975999999999999,0.28,0.44,0.28,-33.821417280718144,1.0986122886681093,0.5510204081632653,1.0364834038277475,0.9484293705588351,2.817156765576632,-0.15420165426477328,0.15999999999999998,3.6698472164387703,3.4486207049585396,False,False
queue,3,150,199,78.84,6.645104332214596,1.9337166889981774,1.0,0.42,0.2,0.38,-43.61137929668754,1.0986122886681093,0.7142857142857143,0.7150412816687901,0.6766137636452372,2.8503150403562016,-0.18819900763013736,0.03999999999999998,4.254114804861273,3.8294441902890055,True,False
queue,4,200,249,102.38,6.998094048861594,2.0358477197358598,1.0,0.32,0.34,0.34,-50.90207430451431,1.0986122886681093,0.673469387755102,0.95621874386764,0.8424058018012045,2.518320985189433,-0.16042985864754364,0.0,3.4466319651050696,2.4534928848188873,False,False
queue,5,250,299,128.56,6.680455430489197,2.080397857110486,1.0,0.16,0.48,0.36,-62.08702556654668,1.0986122886681093,0.6530612244897959,1.0719807540580986,1.1636938784311524,2.8688234220878046,-0.1857320726682082,0.12,4.156368960061866,3.3339208874647284,False,False
queue,6,300,349,157.46,6.2999451373658975,2.1548378512192237,1.0,0.32,0.36,0.32,-74.40110322438645,1.0986122886681093,0.7551020408163265,0.8518846430028347,0.8464335532307339,5.967877932230663,-0.39612546927039877,0.03999999999999998,2.8845077672071655,3.9162968581382076,False,True
queue,7,350,399,173.6,6.286156702823871,2.1328913636279534,1.0,0.36,0.36,0.28,-95.44960219617846,1.0986122886681093,0.8367346938775511,0.7909528402860042,0.7719422635912111,5.760681387618185,-0.39124080426971664,0.0,3.9649291357546947,3.8898076888257216,False,True
queue,8,400,449,192.38,6.368007804836403,2.0026861229316957,1.0,0.28,0.42,0.3,-112.88643257637223,1.0986122886681093,0.7755102040816326,0.8674008737144449,0.6845500302231289,4.786776244162869,-0.3185576100179275,0.12,2.8484042112043735,3.7691047273619134,False,False
queue,9,450,499,211.38,6.306614091828688,1.9494107044962874,1.0,0.4,0.26,0.34,-128.09830414758255,1.0986122886681093,0.673469387755102,0.847949560149344,0.7757233036603376,3.3349738587900206,-0.21104489300015114,0.06,2.843537560926817,3.6151012547225285,False,False
queue,10,500,549,235.88,6.341982834085955,2.0128703460475967,1.0,0.32,0.38,0.3,-138.40441605070782,1.0986122886681093,0.673469387755102,1.0090335831649704,0.9914065012263444,1.6833787555786228,-0.014559707086832234,0.06,3.6231975597203085,2.8658093957037014,False,False
queue,11,550,599,273.26,6.376206664978794,2.0658951586457848,1.0,0.24,0.46,0.3,-145.14209882296703,1.0986122886681093,0.6530612244897959,1.104395423925731,0.9802717694378733,4.170828918372354,-0.2692680898055143,0.16000000000000003,3.6652954534085023,2.4466138380894793,False,False
