k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar
0,0,49,17.34,6.317499098834878,2.402087260347081,0.34680000000000005,0.42,0.24,0.34,-7.553524500873235,1.0986122886681093
1,50,99,38.38,6.504261037515999,2.5022366528186653,0.7676,0.32,0.42,0.26,-21.22175224356473,1.0986122886681093
2,100,149,56.66,6.267569282797945,2.0879904388129544,0.9975999999999999,0.28,0.44,0.28,-33.821417280718144,1.0986122886681093
3,150,199,78.84,6.645104332214596,1.9337166889981774,1.0,0.42,0.2,0.38,-43.61137929668754,1.0986122886681093
4,200,249,102.38,6.998094048861594,2.0358477197358598,1.0,0.32,0.34,0.34,-50.90207430451431,1.0986122886681093
5,250,299,128.56,6.680455430489197,2.0803978571104857,1.0,0.16,0.48,0.36,-62.08702556654668,1.0986122886681093
6,300,349,157.46,6.2999451373658975,2.1548378512192237,1.0,0.32,0.36,0.32,-74.40110322438645,1.0986122886681093
7,350,399,173.6,6.286156702823871,2.1328913636279534,1.0,0.36,0.36,0.28,-95.44960219617846,1.0986122886681093
8,400,449,192.38,6.368007804836403,2.0026861229316957,1.0,0.28,0.42,0.3,-112.88643257637223,1.0986122886681093
9,450,499,211.38,6.306614091828688,1.9494107044962874,1.0,0.4,0.26,0.34,-128.09830414758255,1.0986122886681093
