env,k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar,switch_rate,state_delta_bar,state_delta_std,r_std,reward_trend,dominance_gap,anomaly_score,regime_shift_score,is_anomaly,is_regime_shift
traffic,0,0,49,258.89964290921324,33.887161259211936,26.498847507912718,0.957335147579957,0.0,1.0,0.0,-23.59864658797549,6.162669210987083e-05,0.0,10.980219174712797,4.531264135885588,11.756236853143468,-0.8030451791958557,1.0,5.68285258957496,0.0,True,False
traffic,1,50,99,710.4290665800801,33.33731348221804,70.22108367950348,1.0,0.0,1.0,0.0,-63.9118589082003,5.726222003291325e-11,0.0,8.969505679677022,4.498756792698444,11.5370351042281,-0.793550126557166,1.0,2.5196177186760984,7.999361512281913,False,True
traffic,2,100,149,1179.1115223778406,34.87774955260604,116.7426144478271,1.0,0.0,1.0,0.0,-106.13991795880435,5.726222003291325e-11,0.0,9.569330073537987,5.024781292112934,12.60310738547167,-0.8644659762521804,1.0,2.6516979354130403,7.354789064155256,False,False
traffic,3,150,199,1632.572041488321,33.93447408227658,162.50864990676936,1.0,0.0,1.0,0.0,-146.9725709101336,5.726222003291325e-11,0.0,9.640344365807499,4.378971055035509,12.549304769959035,-0.8615767804157315,1.0,1.9089743198949567,6.7815267939247015,False,False
traffic,4,200,249,2079.9479115404047,33.1562306000425,208.2681828738252,1.0,0.0,1.0,0.0,-187.35246419508357,5.726222003291325e-11,0.0,8.386747118300322,4.993235101496874,11.774077792971282,-0.8054859969035979,1.0,1.8791194938879086,6.968200976193654,False,False
traffic,5,250,299,2521.653832283923,34.4851569725619,252.1047359277614,1.0,0.0,1.0,0.0,-227.24382814388446,5.726222003291325e-11,0.0,10.524335648129561,4.73161906062612,12.458500455310944,-0.8553135512944321,1.0,1.7793273050625735,7.035622177813186,False,False
traffic,6,300,349,2961.9150684838282,32.98853715315917,296.0912280262141,1.0,0.0,1.0,0.0,-266.69169488239817,5.726222003291325e-11,0.0,8.108342447004746,4.057144656290583,10.13462169515318,-0.6974819118073228,1.0,3.8195648028524767,7.816793590908286,False,False
traffic,7,350,399,3420.350942009062,35.93017327824051,340.9365702858572,1.0,0.0,1.0,0.0,-307.87561008287474,5.726222003291325e-11,0.0,10.836638607923712,5.332858001677264,12.256094117556334,-0.8370358149174201,1.0,3.2399592275603464,8.42153485506863,False,True
traffic,8,400,449,3882.7789549330623,34.422882641515294,386.84022091463487,1.0,0.0,1.0,0.0,-349.4270742471367,5.726222003291325e-11,0.0,9.34851058288985,4.109496319221241,11.93386691910373,-0.8231395143780034,1.0,1.793553248594825,7.518307286272454,False,False
traffic,9,450,499,4365.489711753035,34.94500922307789,436.9648478333157,1.0,0.0,1.0,0.0,-393.21615905618563,5.726222003291325e-11,0.0,9.400715405369688,4.844075645492371,12.80216479489182,-0.8759744763715938,1.0,2.7610809379769887,7.413378342345798,False,False
traffic,10,500,549,4815.296921856671,33.573637494351935,480.1393339395348,1.0,0.0,1.0,0.0,-433.38962654364934,5.726222003291325e-11,0.0,9.33042477447002,3.8026969580299697,11.942762409130447,-0.8239993707058387,1.0,2.9923877989712087,7.157821675225535,False,False
traffic,11,550,599,5234.5137093572985,32.33678953788109,523.7029655682771,1.0,0.0,1.0,0.0,-471.2743707719856,5.726222003291325e-11,0.0,7.774469627263996,4.7277461561130805,10.615741688310388,-0.7251783132380539,1.0,4.370667609287171,7.06627370680027,True,False
