env,k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar,switch_rate,state_delta_bar,state_delta_std,r_std,reward_trend,dominance_gap,anomaly_score,regime_shift_score,is_anomaly,is_regime_shift
traffic,0,0,49,235.02887390364893,33.887161259211936,8.365382565073602,0.957335147579957,0.42,0.24,0.34,-18.06091604878345,1.0986122886681093,0.6326530612244898,10.448157979071249,5.0848431036093755,8.206748702266136,-0.5503778271349703,0.07999999999999996,5.408513549902723,0.0,True,False
traffic,1,50,99,629.1706655221934,33.33731348221804,15.610923785292195,1.0,0.32,0.42,0.26,-47.1033124140877,1.0986122886681093,0.6938775510204082,7.883985995257836,4.0153527084507905,8.189032711767526,-0.5623775517901738,0.09999999999999998,3.614213616271655,6.479696728553128,False,False
traffic,2,100,149,1043.9428739382136,34.87774955260604,30.627479291789804,1.0,0.28,0.44,0.28,-79.27621945950354,1.0986122886681093,0.5510204081632653,8.78094994562669,5.634122361445168,9.879730741791679,-0.6676654423659798,0.15999999999999998,4.102748420790137,6.576743017021326,False,False
traffic,3,150,199,1456.672032589097,33.93447408227658,40.61065079669183,1.0,0.42,0.2,0.38,-110.05236344313333,1.0986122886681093,0.7142857142857143,8.971941408386492,4.338759976116424,9.386117814377984,-0.641712154282922,0.03999999999999998,3.4809950244389545,6.774585408095909,False,False
traffic,4,200,249,1862.5012748419642,33.1562306000425,44.604846543669225,1.0,0.32,0.34,0.34,-139.16685453309276,1.0986122886681093,0.673469387755102,7.684072950160928,5.236793385998146,9.10632512876531,-0.6136475127801466,0.0,2.5014044369183464,5.58884298786813,False,False
traffic,5,250,299,2242.6396000465393,34.4851569725619,62.56615915149954,1.0,0.16,0.48,0.36,-169.6403622813833,1.0986122886681093,0.6530612244897959,9.436358797901853,4.844428370600054,10.420149242356207,-0.7133941106989815,0.12,4.07206542796402,6.341613626080145,False,False
traffic,6,300,349,2639.706577638442,32.98853715315917,78.68007711075245,1.0,0.32,0.36,0.32,-200.466439224983,1.0986122886681093,0.7551020408163265,7.809101904766985,4.332677440051085,7.557647865010485,-0.5123267225367395,0.03999999999999998,3.255792106905965,6.987616703967092,False,True
traffic,7,350,399,3059.326943655345,35.93017327824051,89.77497012122826,1.0,0.36,0.36,0.28,-232.1787583842055,1.0986122886681093,0.8367346938775511,10.201191718124939,5.481138901388291,9.39125995209565,-0.637123411970548,0.0,4.127699338143765,6.774946688698485,False,True
traffic,8,400,449,3494.395855637773,34.422882641515294,99.11853084416315,1.0,0.28,0.42,0.3,-264.54135835061294,1.0986122886681093,0.7755102040816326,9.030682245200659,4.395252867980835,9.518417325007823,-0.6529519925167645,0.12,2.4965280169376225,6.2335234018258445,False,False
traffic,9,450,499,3941.220124359596,34.94500922307789,113.03980657265926,1.0,0.4,0.26,0.34,-298.5125308567929,1.0986122886681093,0.673469387755102,9.108837455502515,5.019467189134449,9.642474299742087,-0.6476817930166702,0.06,3.0187530399822764,6.355498330361389,False,False
traffic,10,500,549,4326.368598808635,33.573637494351935,122.23216624433775,1.0,0.32,0.38,0.3,-327.3643373603422,1.0986122886681093,0.673469387755102,7.970735941142124,3.4419415487995986,8.574614595825045,-0.5908896943763037,0.06,3.3666806440537385,5.80674994741147,False,False
traffic,11,550,599,4711.4498885353205,32.33678953788109,131.44934765047464,1.0,0.24,0.46,0.3,-356.03133190744086,1.0986122886681093,0.6530612244897959,7.202293937443776,4.8487049992485955,8.3972783232629,-0.5673443076224892,0.16000000000000003,4.424780724629124,5.606142745907164,True,False
