cluster,q_mean,mu_mean,sigma_mean,rho_mean,n_pg,q_pg,mu_pg,sigma_pg,rho_pg,p0_pg,p1_pg,p2_pg,n_heuristic,q_heuristic,mu_heuristic,sigma_heuristic,rho_heuristic,p0_heuristic,p1_heuristic,p2_heuristic,n_total,D,both_present
15,216.56,8.509335405425244,2.264294821658517,1.0,25,216.56,6.383946462909166,3.4526791783343045,1.0,1.2465517855959942e-08,7.918295940416087e-07,0.9999991957048882,25,216.56,10.634724347941322,1.0759104649827294,1.0,1.0,0.0,0.0,50,1.9999999750689643,True
4,210.0,8.505033185630081,2.321599198969325,1.0,15,210.0,6.41789464159167,3.440978056110926,1.0,2.1001678190893594e-08,1.22854092979323e-06,0.9999987504573921,15,210.0,10.592171729668491,1.2022203418277246,1.0,1.0,0.0,0.0,30,1.9999999579966437,True
11,198.65714285714284,8.529018809172658,2.2870481037554518,1.0,35,198.65714285714284,6.413036465723297,3.479925640386736,1.0,5.1825846161998566e-08,2.625667261004079e-06,0.9999973225068928,35,198.65714285714284,10.645001152622017,1.0941705671241682,1.0,1.0,0.0,0.0,70,1.9999998963483077,True
17,188.47368421052633,8.522118579414382,2.289648651424302,1.0,19,188.47368421052633,6.405052893400993,3.46328985487152,1.0,1.1692557095895746e-07,5.172382422019144e-06,0.9999947106920072,19,188.47368421052633,10.639184265427772,1.1160074479770845,1.0,1.0,0.0,0.0,38,1.999999766148858,True
1,178.94117647058823,8.551485319724772,2.2910264876406896,1.0,34,178.94117647058823,6.456765303983461,3.489508236940216,1.0,2.4754543045563105e-07,9.790569404250036e-06,0.9999899618851652,34,178.94117647058823,10.646205335466085,1.092544738341163,1.0,1.0,0.0,0.0,68,1.9999995049091388,True
12,166.5483870967742,8.49009258551612,2.312233862190479,1.0,31,166.5483870967742,6.410230704201791,3.453009815516308,1.0,6.620156063215099e-07,2.2124367408085042e-05,0.9999772136169857,31,166.5483870967742,10.56995446683045,1.1714579088646502,1.0,1.0,0.0,0.0,62,1.9999986759687873,True
6,159.25,8.559957029805139,2.328468496150373,1.0,32,159.25,6.634543560881647,3.364606600477383,1.0,1.1807740109272937e-06,3.6517662465639924e-05,0.9999623015635235,32,159.25,10.48537049872863,1.292330391823363,1.0,1.0,0.0,0.0,64,1.9999976384519782,True
5,141.76,8.744790849623621,2.278612745287684,1.0,25,141.76,6.944753794496452,3.2867743567465437,1.0,4.620009258365308e-06,0.00011810733422951853,0.9998772726565122,25,141.76,10.544827904750793,1.2704511338288234,1.0,1.0,0.0,0.0,50,1.9999907599814832,True
16,130.0,8.85480836846392,2.2335077813498563,1.0,17,130.0,7.094374509267648,3.2230599471126915,1.0,1.1596492720610989e-05,0.0002580933757769823,0.9997303101315024,17,130.0,10.61524222766019,1.2439556155870213,1.0,1.0,0.0,0.0,34,1.999976807014559,True
0,114.86206896551724,8.825953677721962,2.223136051364329,1.0,29,114.86206896551724,6.960181932569274,3.3315402635943516,1.0,3.8471432600938814e-05,0.0007028768594127069,0.9992586517079863,29,114.86206896551724,10.69172542287465,1.114731839134306,1.0,1.0,0.0,0.0,58,1.9999230571347981,True
19,104.27272727272727,8.784829964404857,2.2641431388028916,1.0,22,104.27272727272727,6.925214525658709,3.386167244074851,1.0,8.843003161621231e-05,0.001416129280330809,0.998495440688053,22,104.27272727272727,10.644445403151003,1.1421190335309321,1.0,1.0,0.0,0.0,44,1.9998231399367676,True
8,95.66666666666667,8.652518908630949,2.3861595720991615,1.0,9,95.66666666666667,6.696557751586179,3.473382560970759,1.0,0.0001794867591827889,0.0025033215187129556,0.9973171917221042,9,95.66666666666667,10.608480065675721,1.2989365832275637,1.0,1.0,0.0,0.0,18,1.9996410264816344,True
9,83.02702702702703,8.658598687797763,2.2705427127729734,1.0,37,83.02702702702703,6.651093897933138,3.4028541199163294,1.0,0.0004930863505280541,0.005761308571566722,0.9937456050779051,37,83.02702702702703,10.666103477662388,1.1382313056296176,1.0,1.0,0.0,0.0,74,1.9990138272989437,True
3,73.0,8.666286505722729,2.2857223059996015,1.0,25,73.0,6.875930435274544,3.2606991250059387,1.0,0.001067580044963312,0.011113272881565456,0.9878191470734712,25,73.0,10.456642576170914,1.3107454869932638,1.0,1.0,0.0,0.0,50,1.9978648399100734,True
14,59.68421052631579,8.837261359114583,2.181120593368005,1.0,19,59.68421052631579,7.074103586256785,3.2331537168803295,1.0,0.0029889545260612578,0.026840221739701124,0.9701708237342374,19,59.68421052631579,10.600419131972382,1.1290874698556796,1.0,1.0,0.0,0.0,38,1.994022090947877,True
