cluster,q_mean,mu_mean,sigma_mean,rho_mean,n_pg,q_pg,mu_pg,sigma_pg,rho_pg,p0_pg,p1_pg,p2_pg,n_random,q_random,mu_random,sigma_random,rho_random,p0_random,p1_random,p2_random,n_total,D,both_present
14,216.56,6.338763308868064,2.705151384224926,1.0,25,216.56,6.383946462909166,3.4526791783343045,1.0,1.2465517855959942e-08,7.918295940416087e-07,0.9999991957048882,25,216.56,6.293580154826961,1.9576235901155477,1.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,50,1.3333317247431096,True
3,210.0,6.364615182371371,2.693548450038792,1.0,15,210.0,6.41789464159167,3.440978056110926,1.0,2.1001678190893594e-08,1.22854092979323e-06,0.9999987504573921,15,210.0,6.311335723151072,1.946118843966658,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,30,1.3333308342481174,True
13,198.7941176470588,6.374029433178728,2.7277983062992184,1.0,34,198.7941176470588,6.415178532786718,3.4790530441004823,1.0,5.1172685634759966e-08,2.599097432659212e-06,0.9999973497298817,34,198.7941176470588,6.332880333570738,1.976543568497955,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,68,1.3333280327930968,True
7,189.58823529411765,6.387527406191106,2.735184237239205,1.0,17,189.58823529411765,6.404303981289706,3.464634050988966,1.0,1.0619758457347963e-07,4.777957642136404e-06,0.9999951158447732,17,189.58823529411765,6.370750831092506,2.005734423489444,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,34,1.3333235650228796,True
9,179.52777777777777,6.410489104829567,2.795162298174771,1.0,36,179.52777777777777,6.451011567079295,3.489730951729013,1.0,2.36579580364847e-07,9.422148780910158e-06,0.9999903412716387,36,179.52777777777777,6.36996664257984,2.100593644620529,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,72,1.3333140158766108,True
1,167.44444444444446,6.3043228549059,2.7999289338183253,1.0,27,167.44444444444446,6.384532895783507,3.4593666197324815,1.0,6.161283559155209e-07,2.0771107631257922e-05,0.9999786127640128,27,167.44444444444446,6.224112814028292,2.140491247904169,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,54,1.3332905588613588,True
11,159.75675675675674,6.454841669227574,2.7661625854752745,1.0,37,159.75675675675674,6.624237972733986,3.3711920228944185,1.0,1.1368034187253312e-06,3.534761388285567e-05,0.9999635155826984,37,159.75675675675674,6.285445365721162,2.1611331480561304,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,74,1.33326036449873,True
4,141.76,6.699404794194204,2.696652012025965,1.0,25,141.76,6.944753794496452,3.2867743567465437,1.0,4.620009258365308e-06,0.00011810733422951853,0.9998772726565122,25,141.76,6.454055793891957,2.106529667305386,1.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,50,1.3330878786463576,True
16,130.0,6.888685191631625,2.63627852856472,1.0,17,130.0,7.094374509267648,3.2230599471126915,1.0,1.1596492720610989e-05,0.0002580933757769823,0.9997303101315024,17,130.0,6.682995873995602,2.0494971100167487,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,34,1.332793953596338,True
10,114.86206896551724,6.960859223547703,2.6974090243200415,1.0,29,114.86206896551724,6.960181932569274,3.3315402635943516,1.0,3.8471432600938814e-05,0.0007028768594127069,0.9992586517079863,29,114.86206896551724,6.961536514526131,2.0632777850457313,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,58,1.331850636749306,True
5,104.27272727272727,6.962975145737511,2.7125123924090064,1.0,22,104.27272727272727,6.925214525658709,3.386167244074851,1.0,8.843003161621231e-05,0.001416129280330809,0.998495440688053,22,104.27272727272727,7.000735765816312,2.038857540743162,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,44,1.3303242147094392,True
19,95.66666666666667,6.787461784060351,2.784837571705409,1.0,9,95.66666666666667,6.696557751586179,3.473382560970759,1.0,0.0001794867591827889,0.0025033215187129556,0.9973171917221042,9,95.66666666666667,6.878365816534524,2.096292582440059,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,18,1.3279677167775419,True
17,83.16666666666667,6.7358055266886705,2.69621033980682,1.0,36,83.16666666666667,6.646387816750369,3.4077813486404076,1.0,0.0004869739509474945,0.005702881005573587,0.9938101450434788,36,83.16666666666667,6.825223236626972,1.9846393309732318,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,72,1.320953623420291,True
2,73.44,6.641994159315865,2.5789955998982985,1.0,25,73.44,6.872333037647296,3.2629005303039094,1.0,0.001028761406992176,0.010779685390484867,0.9881915532025229,25,73.44,6.411655280984434,1.8950906694926875,1.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,50,1.3097164397383791,True
18,61.92307692307692,6.789263098886146,2.583881301900566,1.0,13,61.92307692307692,7.138769605577233,3.171777603864105,1.0,0.0024831074765889077,0.02310274983733209,0.9744141426860788,13,61.92307692307692,6.439756592195059,1.995984999937027,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,26,1.2821616187054912,True
12,52.256410256410255,6.3255824256941535,2.812753913565259,0.9923076923076923,39,52.256410256410255,6.485268487754761,3.466534910285063,0.9923076923076923,0.005527168138403569,0.042481576539469317,0.9519912553221271,39,52.256410256410255,6.165896363633546,2.1589729168454554,0.9923076923076923,0.3333333333333333,0.3333333333333333,0.3333333333333333,78,1.2373158439775875,True
6,40.5,6.132370161587181,3.0807069556632336,0.81,30,40.5,5.994089178941554,3.600698210757527,0.81,0.01406243617993695,0.08919562617469226,0.8967419376453708,30,40.5,6.270651144232809,2.5607157005689407,0.81,0.3333333333333333,0.3333333333333333,0.3333333333333333,60,1.1268172086240749,True
8,27.647058823529413,6.85985876928548,2.9005342296210808,0.5529411764705883,34,27.647058823529413,6.636919461601884,3.287559585074206,0.5529411764705883,0.0337069022500735,0.19276185774594892,0.7735312400039775,34,27.647058823529413,7.082798076969077,2.5135088741679557,0.5529411764705883,0.3333333333333333,0.3333333333333333,0.3333333333333333,68,0.8803958133412884,True
15,14.88888888888889,6.08660991105844,2.3858761933180817,0.2977777777777778,18,14.88888888888889,6.011776826115062,2.7567966129639947,0.2977777777777778,0.079886585025692,0.33201039420585454,0.5881030207684534,18,14.88888888888889,6.16144299600182,2.0149557736721686,0.2977777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,36,0.5095393748702401,True
0,6.0,5.1513888888888895,2.61610711756042,0.12,12,6.0,4.858730158730158,2.506132805494994,0.12,0.13960394708591706,0.4242131897635812,0.43618286315050164,12,6.0,5.444047619047619,2.726081429625846,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,24,0.38745877249483246,True
